date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:20:35	5232/5232	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f73842c-247b%22	http://findmatthew.com/robots.txt		(from )
02:20:35	23037/23037	---MCZ	200	added ('OK')	text/html	etag:W/%225e3351db-59fd%22	http://findmatthew.com/	D:/Portfolio/Portfolio/findmatthew.com/index.html	(from )
02:20:36	64666/64666	---MCZ	200	added ('OK')	text/css	etag:W/%225e3351db-fc9a%22	http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css	D:/Portfolio/Portfolio/findmatthew.com/fonts/mdi/css/materialdesignicons.min.css	(from http://findmatthew.com/)
02:20:37	25283/25283	---MCZ	200	added ('OK')	text/css	etag:W/%225e3351db-62c3%22	http://findmatthew.com/style/style.css	D:/Portfolio/Portfolio/findmatthew.com/style/style.css	(from http://findmatthew.com/)
02:20:37	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225e3351db-47e%22	http://findmatthew.com/favicon.ico	D:/Portfolio/Portfolio/findmatthew.com/favicon.ico	(from http://findmatthew.com/)
02:20:38	5876/5876	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03faa-16f4%22	https://cdnjs.cloudflare.com/ajax/libs/prefixfree/1.0.7/prefixfree.min.js	D:/Portfolio/Portfolio/cdnjs.cloudflare.com/ajax/libs/prefixfree/1.0.7/prefixfree.min.js	(from http://findmatthew.com/)
02:20:38	85589/85589	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	D:/Portfolio/Portfolio/ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	(from http://findmatthew.com/)
02:20:38	29299/29299	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f24-7273%22	https://cdnjs.cloudflare.com/ajax/libs/mixitup/2.1.11/jquery.mixitup.min.js	D:/Portfolio/Portfolio/cdnjs.cloudflare.com/ajax/libs/mixitup/2.1.11/jquery.mixitup.min.js	(from http://findmatthew.com/)
02:20:39	8833/8833	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402f-2281%22	https://cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	D:/Portfolio/Portfolio/cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	(from http://findmatthew.com/)
02:20:40	4597/4597	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3351db-11f5%22	http://findmatthew.com/scripts/index.js	D:/Portfolio/Portfolio/findmatthew.com/scripts/index.js	(from http://findmatthew.com/)
02:20:40	89049/89049	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3351db-15bd9%22	http://findmatthew.com/scripts/pt.min.js	D:/Portfolio/Portfolio/findmatthew.com/scripts/pt.min.js	(from http://findmatthew.com/)
02:20:41	5877/5877	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3351db-16f5%22	http://findmatthew.com/scripts/modal.js	D:/Portfolio/Portfolio/findmatthew.com/scripts/modal.js	(from http://findmatthew.com/)
02:20:42	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f73842c-247b%22	http://findmatthew.com/img/filler.jpg	D:/Portfolio/Portfolio/findmatthew.com/img/filler.b.delayed	(from http://findmatthew.com/)
02:21:10	210416/210416	---M--	200	added ('OK')	image/png	etag:%225e3351db-335f0%22	http://findmatthew.com/img/me.png	D:/Portfolio/Portfolio/findmatthew.com/img/me.png	(from http://findmatthew.com/)
